ordem,secao,faceta,campo,tipo,repetivel,grupo_repeticao,valores_admitidos,questoes,define_subconjunto,regra_extracao
30,QUALIDADE,Axis,QualityAxisU,fechado,NAO,,absent; claimed only; comprehension; engineering activity; rework,,SQ7,"Relacao modelo-interprete e uso. Espelha eixo_U. Define o subconjunto da SQ7 (era da SQ6 antes da divisao da A006 secao 10). Campo INSTRUMENTO da revisao: nao e dado de resposta de pergunta nenhuma, e por isso a coluna questoes fica vazia."
31,QUALIDADE,Axis,ResultAttribution,fechado,NAO,,attributable to UML; aggregated with other artifacts; not reported,,,"Herdado do E10 retirado. Espelha atribuicao_resultado. Qualifica, NAO exclui: o que exclui e o C1/E12. Campo INSTRUMENTO da revisao: nao e dado de resposta de pergunta nenhuma, e por isso a coluna questoes fica vazia."
32,QUALIDADE,Construct,Original quality term,aberto,SIM,CONSTRUTO,,SQ1,,"VOCABULARIO NATIVO. Preservar o termo exatamente como reportado, ANTES de qualquer mapeamento para o esquema da revisao (manual v2, secao 9)."
33,QUALIDADE,Construct,Definition and theoretical source,aberto,SIM,CONSTRUTO,,SQ1,,"Definicao verbatim ou quase verbatim, dentro dos limites de direito autoral, mais o arcabouco citado."
34,QUALIDADE,Construct,Normalized construct,fechado,SIM,CONSTRUTO,textual validity; rendering validity; PlantUML parseability; UML syntactic conformity; metamodel conformance; well-formedness; notation-level validity; semantic correctness; semantic completeness; requirements coverage; domain fidelity; consistency; consistency with source requirements; omitted element; unsupported addition; incorrect relation; incorrect actor; incorrect behavior; pragmatic adequacy; understandability; readability; clarity; correction effort; inspection effort; other,SQ1,,So preencher DEPOIS de registrado o termo nativo. VOCABULARIO UNICO: SyntacticQualityConstruct e SemanticQualityConstruct sao as projecoes sintatica e semantica deste campo e nao admitem valor ausente daqui.
35,QUALIDADE,Construct,SyntacticEvidenceAvailable,fechado,NAO,,yes; no; unclear,SQ4,,
36,QUALIDADE,Construct,SemanticEvidenceAvailable,fechado,NAO,,yes; no; unclear,SQ4,,
37,QUALIDADE,Construct,SyntacticQualityConstruct,fechado,SIM,,textual validity; rendering validity; PlantUML parseability; UML syntactic conformity; metamodel conformance; well-formedness; notation-level validity; other; not reported,SQ1,,Repetivel.
38,QUALIDADE,Construct,SemanticQualityConstruct,fechado,SIM,,semantic correctness; semantic completeness; requirements coverage; domain fidelity; consistency with source requirements; omitted element; unsupported addition; incorrect relation; incorrect actor; incorrect behavior; other; not reported,SQ1,,Repetivel.
39,QUALIDADE,Metric,SyntacticMetricOrProcedure,aberto,SIM,,,SQ3,,"Metrica, rubrica, parser, compilador, checagem de renderizacao, checagem de metamodelo, checklist, julgamento humano, ferramenta automatica ou procedimento narrativo, como reportado."
40,QUALIDADE,Metric,SemanticMetricOrProcedure,aberto,SIM,,,SQ3,,"Metrica, rubrica, oraculo, modelo de referencia, gold standard, rastreabilidade de requisitos, julgamento de especialista, checklist, codificacao humana, comparacao automatica ou procedimento narrativo, como reportado."
41,QUALIDADE,Reference,EvaluationReference,fechado,SIM,,requirements text; domain description; reference UML model; gold standard; rubric; expert judgment; benchmark; parser or renderer; UML specification; metamodel; other; unclear,SQ3,,Repetivel: um estudo pode usar mais de um referencial.
42,QUALIDADE,Reference,OracleOrGoldStandard,fechado,NAO,,yes; no; partial; unclear,SQ3,,
43,QUALIDADE,Reference,Reference construction and validation,aberto,NAO,,,SQ3,,"Quem construiu, a partir de que fontes, por que processo, e se discordancia ou modelos alternativos validos foram tratados."
44,QUALIDADE,Unit,Unit of assessment,fechado,SIM,,diagram; requirement; proposition; actor; use case; class; attribute; relation; message; state; transition; other,SQ3,,Repetivel. A viabilidade da extracao em nivel de elemento e uma das perguntas do piloto (l. 1558).
45,QUALIDADE,Inadequacy,Original label and definition,aberto,SIM,INADEQUACAO,,SQ2,,VOCABULARIO NATIVO. Preservar o rotulo da fonte e o seu significado operacional.
46,QUALIDADE,Inadequacy,Normalized discrepancy operation,fechado,SIM,INADEQUACAO,omission; unsupported addition; incorrect representation; incorrect classification; inconsistency; duplication; redundancy; emergent category,SQ2,,"So preencher DEPOIS do rotulo nativo. ""emergent category"" substitui ""other"" (l. 1614): e o braco INDUTIVO do processo hibrido das l. 1597 e 1625, e nao lata de lixo. Escolhe-la OBRIGA a escrever o rotulo emergente em texto livre; sem rotulo ela vira ""other"" com outro nome."
47,QUALIDADE,Inadequacy,Violated reference,fechado,SIM,INADEQUACAO,concrete representation; UML abstract syntax; UML construct semantics; domain or requirements semantics; cross diagram consistency; intended engineering task,SQ2,,"E aqui que a dissonancia sintatico-semantica se torna observavel. A lista espelha a tricotomia da l. 185 (referencia de linguagem, semantica ou tarefa). ""concrete representation"" e nao ""concrete syntax"" porque o protocolo reserva ""syntax"" ao nivel abstrato (l. 181) e a l. 180 declara que validade textual NAO estabelece conformidade UML. ""cross diagram"" e nao ""cross model"" porque o que se viola e a consistencia entre diagramas de um mesmo modelo. ""intended engineering task"" mantem a ancora da l. 185 e desambigua do campo 7 GenerationTask."
48,QUALIDADE,Inadequacy,UML carrier,fechado,SIM,INADEQUACAO,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,SQ2,,"Repetivel. Lista integral da l. 1615, que separa ""diagram"" de ""element"" e traz ""transition"" e ""message"" - os portadores de maquina de estados e de sequencia, que sao as diagram specific distinctions que a l. 113 proibe apagar e que povoam o nivel especifico da taxonomia (l. 1668). O mesmo vocabulario ja existe no campo 44 (l. 1529)."
49,QUALIDADE,Inadequacy,Reported severity or task effect,aberto,SIM,INADEQUACAO,,SQ2,,"UNICO CAMPO QUE NAO VEM DAS DUAS TABELAS DE EXTRACAO (l. 1469-1496 e l. 1513-1548). Existe porque a l. 1601-1608 define a inadequacao como a tupla <Rv, Od, Cu, Se, Ex> e a l. 1616 poe a severidade como quinta dimensao da codificacao, e nenhuma das duas tabelas lhe deu casa: Rv, Od e Cu sao os campos 47, 46 e 48, e Ex sao as colunas evidencia e localizacao de cada linha do arquivo de extracao. So Se ficava de fora. ABERTO e nao fechado por leitura literal da l. 1616, que diz que a severidade e PRESERVED when the study reports a severity scale or task effect: preservada, nao classificada. Uma lista fechada inventaria uma escala que o estudo nao tem e normalizaria justamente o que a l. 1616 manda conservar. PREENCHER SO quando o estudo reporta escala de severidade ou efeito sobre a tarefa, com o rotulo, a escala e o valor do proprio estudo; quando nao reporta, escrever not reported, que e distinto de not applicable e de unclear (l. 1554). Uma ocorrencia por inadequacao."
50,QUALIDADE,Metric,Metric name and formula,composto,SIM,METRICA,,SQ3,,"Formula, numerador, denominador, escala, direcao, limiar e regra de agregacao."
51,QUALIDADE,Metric,Automation level,fechado,SIM,METRICA,fully automated; tool assisted; human coded; LLM assessed; mixed,SQ3,,Uma ocorrencia por metrica.
52,QUALIDADE,Evaluation,HumanEvaluatorRole,fechado,SIM,,author; independent evaluator; domain expert; UML expert; student; practitioner; crowd worker; participant; not reported; not applicable,SQ5,,"Repetivel. FUNDIDO com o antigo campo 27 (Human involvement, MQ4): seis dos sete valores daquele campo eram este mesmo vocabulario, e manter os dois faria o extrator preencher a mesma coisa duas vezes sem que a contagem final soubesse qual usar. ""participant"" veio de la e nao e sinonimo dos demais: marca envolvimento humano como SUJEITO do estudo, nunca como avaliador, e por isso NAO conta para a independencia da avaliacao na SQ5. O perfil do participante continua detalhado no campo de tarefa, ator e desfecho."
53,QUALIDADE,Evaluation,AutomatedEvaluatorTool,fechado,SIM,,PlantUML; parser; renderer; model checker; custom script; LLM-as-judge; other; none reported,SQ3,,Repetivel.
54,QUALIDADE,Evaluation,QualityAggregationRule,fechado,NAO,,per diagram; per element; per relation; per requirement; per prompt; per model; percentage; score; ordinal scale; pass/fail; narrative only; unclear,SQ3,,
55,QUALIDADE,Reliability,Agreement and uncertainty,composto,NAO,,,SQ5,,"Medida de concordancia, valor, intervalo de confianca, geracao repetida, variancia, tamanho de efeito, significancia ou confianca qualitativa."
56,QUALIDADE,Context relation,Context factor,aberto,SIM,,,SQ7,,"Fator manipulado, controlado, observado ou apenas reportado. Registrar qual dos quatro, porque disso depende o status inferencial."
57,QUALIDADE,Context relation,Inferential status,fechado,NAO,,descriptive; comparative; relational; causal; mechanistic; unsupported claim,SQ7,,Estratifica a sintese narrativa por forca inferencial.
58,QUALIDADE,Pragmatic use,"Task, actor, and outcome",composto,SIM,,,SQ7,,"Atividade de engenharia, perfil do participante, criterio de sucesso, tempo, acuracia, qualidade da decisao ou compreensao."
59,QUALIDADE,Rework,CorrectionOrReworkEvidence,fechado,NAO,,yes; no; unclear,SQ7,,
60,QUALIDADE,Rework,Correction measure,fechado,SIM,,time; edit count; changed elements; distance; severity; number of iterations; subjective effort; other,SQ7,,Repetivel.
61,QUALIDADE,Syntax-semantic dissonance,SyntaxSemanticDissonanceEvidence,fechado,NAO,,direct; indirect; absent; unclear; not assessable,SQ4,,"Protocolo l. 1683: NAO inferir adequacao semantica a partir de parseabilidade, renderizabilidade, validade textual ou conformidade sintatica."
62,QUALIDADE,Syntax-semantic dissonance,SyntaxSemanticDissonanceType,fechado,SIM,,syntactically valid but semantically incorrect; syntactically valid but semantically incomplete; renderable but domain-inconsistent; textually valid PlantUML with wrong UML relation; syntactically invalid but semantically partially recoverable; other; not applicable,SQ4,,Repetivel: um estudo pode reportar mais de um tipo.
63,QUALIDADE,Syntax-semantic dissonance,DissonanceEvidenceBasis,aberto,NAO,,,SQ4,,Explicacao curta da evidencia que sustenta a classificacao.
64,QUALIDADE,Limitations,Construct and evaluation threats,composto,NAO,,,SQ5,,"Limitacoes reportadas pelos autores e inferidas pelo revisor, mantidas em campos SEPARADOS."
