ordem,secao,faceta,campo,tipo,repetivel,grupo_repeticao,valores_admitidos,questoes,define_subconjunto,origem,regra_extracao
32,QUALIDADE,Construct,Original quality term,aberto,SIM,CONSTRUTO,,SQ1,,lido,"VOCABULARIO NATIVO. Preservar o termo exatamente como reportado, ANTES de qualquer mapeamento para o esquema da revisao (manual v2, secao 9)."
33,QUALIDADE,Construct,Definition and theoretical source,aberto,SIM,CONSTRUTO,,SQ1,,lido,"Definicao verbatim ou quase verbatim, dentro dos limites de direito autoral, mais o arcabouco citado."
34,QUALIDADE,Construct,Normalized construct,fechado,SIM,CONSTRUTO,textual validity; rendering validity; PlantUML parseability; UML syntactic conformity; metamodel conformance; well-formedness; notation-level validity; semantic correctness; semantic completeness; requirements coverage; domain fidelity; consistency; consistency with source requirements; pragmatic adequacy; understandability; readability; clarity; other,SQ1,,lido,"So preencher DEPOIS de registrado o termo nativo. VOCABULARIO UNICO: SyntacticQualityConstruct e SemanticQualityConstruct sao as projecoes sintatica e semantica deste campo e nao admitem valor ausente daqui. DUALIDADE (subsecao ""Attributes, deviations, and measures""): este campo guarda ATRIBUTOS. Rotulo de desvio nao entra aqui -- vai para NormalizedDiscrepancyOperation x UMLCarrier; quantidade de esforco nao entra aqui -- vai para os campos de retrabalho. Guardar nos dois polos reportaria tipo de desvio como dimensao de qualidade na matriz da SQ1. NIVEL 1 TEM UM NOME SO: quality construct. ""attribute"" e o termo das normas de medicao para o mesmo nivel e vale como sinonimo declarado; ""dimension"" NAO e terceiro nome -- dimensao aqui e um dos tres eixos e mais nada."
35,QUALIDADE,Construct,SyntacticEvidenceAvailable,fechado,NAO,,yes; no; unclear,SQ4,,derivado,"DERIVADO do eixo L: diferente de absent -> yes; absent -> no. ""unclear"" e o UNICO valor que o extrator poe a mao."
36,QUALIDADE,Construct,SemanticEvidenceAvailable,fechado,NAO,,yes; no; unclear,SQ4,,derivado,"DERIVADO do eixo D: diferente de absent -> yes; absent -> no. ""unclear"" e o UNICO valor que o extrator poe a mao."
37,QUALIDADE,Construct,SyntacticQualityConstruct,fechado,SIM,,textual validity; rendering validity; PlantUML parseability; UML syntactic conformity; metamodel conformance; well-formedness; notation-level validity; other; not reported,SQ1,,lido,Repetivel.
38,QUALIDADE,Construct,SemanticQualityConstruct,fechado,SIM,,semantic correctness; semantic completeness; requirements coverage; domain fidelity; consistency; consistency with source requirements; other; not reported,SQ1,,lido,"Repetivel. Projecao semantica do campo 34: nao admite valor ausente de la, e cobre a particao semantica inteira."
39,QUALIDADE,Measure,SyntacticMetricOrProcedure,aberto,SIM,,,SQ3,,lido,"Metrica, rubrica, parser, compilador, checagem de renderizacao, checagem de metamodelo, checklist, julgamento humano, ferramenta automatica ou procedimento narrativo, como reportado."
40,QUALIDADE,Measure,SemanticMetricOrProcedure,aberto,SIM,,,SQ3,,lido,"Metrica, rubrica, oraculo, modelo de referencia, gold standard, rastreabilidade de requisitos, julgamento de especialista, checklist, codificacao humana, comparacao automatica ou procedimento narrativo, como reportado."
41,QUALIDADE,Reference,EvaluationReference,fechado,SIM,,requirements text; domain description; reference UML model; gold standard; rubric; expert judgment; benchmark; parser or renderer; UML specification; metamodel; other; unclear,SQ3,,lido,Repetivel: um estudo pode usar mais de um referencial.
42,QUALIDADE,Reference,OracleOrGoldStandard,fechado,NAO,,yes; no; partial; unclear,SQ3,,lido,
43,QUALIDADE,Reference,Reference construction and validation,aberto,NAO,,,SQ3,,lido,"Quem construiu, a partir de que fontes, por que processo, e se discordancia ou modelos alternativos validos foram tratados."
44,QUALIDADE,Unit,Unit of assessment,fechado,SIM,,diagram; requirement; proposition; actor; use case; class; attribute; relation; message; state; transition; other,SQ3,,lido,"Repetivel. A viabilidade da extracao em nivel de elemento e uma das perguntas do piloto (subsecao ""Extraction pilot and verification"")."
45,QUALIDADE,Deviation,Original label and definition,aberto,SIM,DESVIO,,SQ2,,lido,VOCABULARIO NATIVO. Preservar o rotulo da fonte e o seu significado operacional.
46,QUALIDADE,Deviation,Normalized discrepancy operation,fechado,SIM,DESVIO,omission; unsupported addition; intrinsic hallucination; extrinsic hallucination; incorrect representation; incorrect classification; inconsistency; duplication; redundancy; emergent category,SQ2,,lido,"So preencher DEPOIS do rotulo nativo. ""emergent category"" substitui ""other"" (enumeracao ""discrepancy operation"" da subsecao ""Coding dimensions""): e o braco INDUTIVO do processo hibrido da secao ""Coding and taxonomy construction"" e da subsecao ""Coding procedure"", e nao lata de lixo. Escolhe-la OBRIGA a escrever o rotulo emergente em texto livre; sem rotulo ela vira ""other"" com outro nome. DUAL do campo 34, nunca repeticao dele: completude semantica <-> omission; correcao semantica <-> unsupported addition, incorrect representation, incorrect classification; consistency <-> inconsistency; validade textual e conformidade UML <-> a nao-conformidade correspondente, cujo nivel fica no campo 47. Desvio sem atributo nomeado pelo estudo: o atributo e NAO_REPORTADO e a assimetria e achado da SQ1, nao falha do instrumento. HALLUCINATION: adotado onde e o termo estabelecido -- conteudo que a fonte nao sustenta, no eixo D. ""intrinsic"" contradiz a entrada, ""extrinsic"" nao e verificavel por ela. NUNCA para omissao: faithfulness e completeness sao criterios COMPLEMENTARES, entao diagrama que deixa de fora o que a fonte exige e incompleto, nao alucinado. omission <-> feasible completeness; unsupported addition e alucinacao <-> feasible validity. Preferir os dois valores de hallucination quando o proprio estudo usa a palavra; caso contrario ""unsupported addition""."
47,QUALIDADE,Deviation,Violated reference,fechado,SIM,DESVIO,concrete representation; UML abstract syntax; UML construct semantics; domain or requirements semantics; cross diagram consistency; intended engineering task,SQ2,,lido,"E aqui que a dissonancia sintatico-semantica se torna observavel. A lista espelha a tricotomia da definicao operacional de ""Inadequacy"" (referencia de linguagem, semantica ou tarefa). ""concrete representation"" e nao ""concrete syntax"" porque o protocolo reserva ""syntax"" ao nivel abstrato (definicao de ""UML syntactic conformity"") e a definicao de ""Textual validity"" declara que validade textual NAO estabelece conformidade UML. ""cross diagram"" e nao ""cross model"" porque o que se viola e a consistencia entre diagramas de um mesmo modelo. ""intended engineering task"" mantem a ancora da definicao de ""Inadequacy"" e desambigua do campo 7 GenerationTask."
48,QUALIDADE,Deviation,UML carrier,fechado,SIM,DESVIO,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,SQ2,,lido,"Repetivel. Lista integral da enumeracao ""UML carrier"" da subsecao ""Coding dimensions"", que separa ""diagram"" de ""element"" e traz ""transition"" e ""message"" - os portadores de maquina de estados e de sequencia, que sao as diagram specific distinctions que a SQ2 proibe apagar e que povoam o nivel especifico da taxonomia (subsecao ""Taxonomy of reported UML inadequacies""). O mesmo vocabulario ja existe no campo 44, Unit of assessment."
49,QUALIDADE,Deviation,Reported severity or task effect,aberto,SIM,DESVIO,,SQ2,,lido,"NASCEU FORA DAS DUAS TABELAS DE EXTRACAO e passou a constar da tabela de evidencia de qualidade na v2.0. Existe porque a Equation eq:protocol_inadequacy_tuple define a inadequacao como a tupla <Rv, Od, Cu, Se, Ex> e a enumeracao ""severity or consequence"" da subsecao ""Coding dimensions"" poe a severidade como quinta dimensao, e nenhuma das duas tabelas lhe deu casa: Rv, Od e Cu sao os campos 47, 46 e 48, e Ex sao as colunas evidencia e localizacao de cada linha do arquivo de extracao. So Se ficava de fora. ABERTO e nao fechado por leitura literal dessa enumeracao, que diz que a severidade e PRESERVED when the study reports a severity scale or task effect: preservada, nao classificada. Uma lista fechada inventaria uma escala que o estudo nao tem e normalizaria justamente o que essa enumeracao manda conservar. PREENCHER SO quando o estudo reporta escala de severidade ou efeito sobre a tarefa, com o rotulo, a escala e o valor do proprio estudo; quando nao reporta, escrever not reported, que e distinto de not applicable e de unclear (subsecao ""Missing and ambiguous data""). Uma ocorrencia por inadequacao."
50,QUALIDADE,Measure,Metric name and formula,composto,SIM,MEDIDA,,SQ3,,lido,"Formula, numerador, denominador, escala, direcao, limiar e regra de agregacao. O nome do campo mantem ""Metric"" de proposito: ele guarda o que o ESTUDO reportou, e metric e a palavra dos estudos. O nivel normalizado da revisao chama-se measure (2502n, que aposentou metric ao suceder a 9126). Onde os dois aparecerem juntos, metric e o estudo falando e measure e a revisao."
51,QUALIDADE,Measure,Automation level,fechado,SIM,MEDIDA,fully automated; tool assisted; human coded; LLM assessed; mixed,SQ3,,lido,Uma ocorrencia por metrica.
52,QUALIDADE,Evaluation,HumanEvaluatorRole,fechado,SIM,,author; independent evaluator; domain expert; UML expert; student; practitioner; crowd worker; participant; not reported; not applicable,SQ5,,lido,"Repetivel. FUNDIDO com o antigo campo 27 (Human involvement, MQ4): seis dos sete valores daquele campo eram este mesmo vocabulario, e manter os dois faria o extrator preencher a mesma coisa duas vezes sem que a contagem final soubesse qual usar. ""participant"" veio de la e nao e sinonimo dos demais: marca envolvimento humano como SUJEITO do estudo, nunca como avaliador, e por isso NAO conta para a independencia da avaliacao na SQ5. O perfil do participante continua detalhado no campo de tarefa, ator e desfecho."
53,QUALIDADE,Evaluation,AutomatedEvaluatorTool,fechado,SIM,,PlantUML; parser; renderer; model checker; custom script; LLM-as-judge; other; none reported,SQ3,,lido,Repetivel.
54,QUALIDADE,Evaluation,QualityAggregationRule,fechado,NAO,,per diagram; per element; per relation; per requirement; per prompt; per model; percentage; score; ordinal scale; pass/fail; narrative only; unclear,SQ3,,lido,
55,QUALIDADE,Reliability,Agreement and uncertainty,composto,NAO,,,SQ5,,lido,"Medida de concordancia, valor, intervalo de confianca, geracao repetida, variancia, tamanho de efeito, significancia ou confianca qualitativa."
56,QUALIDADE,Context relation,Context factor,aberto,SIM,,,SQ7,,lido,"Fator manipulado, controlado, observado ou apenas reportado. Registrar qual dos quatro, porque disso depende o status inferencial."
57,QUALIDADE,Context relation,Inferential status,fechado,NAO,,descriptive; comparative; relational; causal; mechanistic; unsupported claim,SQ7,,lido,Estratifica a sintese narrativa por forca inferencial.
58,QUALIDADE,Pragmatic use,"Task, actor, and outcome",composto,SIM,,,SQ7,,lido,"Atividade de engenharia, perfil do participante, criterio de sucesso, tempo, acuracia, qualidade da decisao ou compreensao."
59,QUALIDADE,Rework,CorrectionOrReworkEvidence,fechado,NAO,,yes; no; unclear,SQ7,,derivado,"DERIVADO: alguma Correction measure registrada, ou eixo U = rework -> yes; nenhuma das duas -> no. ""unclear"" e o unico valor posto a mao."
60,QUALIDADE,Rework,Correction measure,fechado,SIM,,time; edit count; changed elements; distance; severity; number of iterations; subjective effort; other,SQ7,,lido,Repetivel.
61,QUALIDADE,Syntax-semantic dissonance,SyntaxSemanticDissonanceEvidence,fechado,NAO,,direct; indirect; absent; unclear; not assessable,SQ4,,lido,"Protocolo, subsecao ""Syntax-semantic dissonance synthesis"": NAO inferir adequacao semantica a partir de parseabilidade, renderizabilidade, validade textual ou conformidade sintatica. O nome do campo preserva ""Dissonance"" porque syntax-semantic dissonance e ROTULO CURTO declarado uma vez no protocolo, nao construto: nomeia a coocorrencia medida de conformidade no eixo L com desvio no eixo D, e nada alem do que os dois eixos ja determinam."
62,QUALIDADE,Syntax-semantic dissonance,SyntaxSemanticDissonanceType,fechado,SIM,,syntactically valid but semantically incorrect; syntactically valid but semantically incomplete; renderable but domain-inconsistent; textually valid PlantUML with wrong UML relation; syntactically invalid but semantically partially recoverable; other; not applicable,SQ4,,lido,"Repetivel: um estudo pode reportar mais de um tipo. O nome do campo preserva ""Dissonance"" porque syntax-semantic dissonance e ROTULO CURTO declarado uma vez no protocolo, nao construto: nomeia a coocorrencia medida de conformidade no eixo L com desvio no eixo D, e nada alem do que os dois eixos ja determinam."
63,QUALIDADE,Syntax-semantic dissonance,DissonanceEvidenceBasis,aberto,NAO,,,SQ4,,lido,"Explicacao curta da evidencia que sustenta a classificacao. O nome do campo preserva ""Dissonance"" porque syntax-semantic dissonance e ROTULO CURTO declarado uma vez no protocolo, nao construto: nomeia a coocorrencia medida de conformidade no eixo L com desvio no eixo D, e nada alem do que os dois eixos ja determinam."
64,QUALIDADE,Limitations,Construct and evaluation threats,composto,NAO,,,SQ5,,lido,"Limitacoes reportadas pelos autores e inferidas pelo revisor, mantidas em campos SEPARADOS."
65,MAPEAMENTO,Output,NotationFamily,fechado,NAO,,UML only; UML with a standard profile; a UML-derived language that is not a UML profile; UML alongside a separable non-UML notation; unclear,MQ2,,lido,"Contra QUE definicao de linguagem a conformidade sintatica foi aferida. O portao B5 ja decidiu que existe contribuicao UML separavel e depois descarta qual era a outra notacao; este campo guarda o que o portao joga fora. Importa ao eixo L: conformidade contra o metamodelo UML nao e conformidade contra um perfil, e registrar uma pela outra falsifica o eixo que alimenta a SQ4. Exemplos: SysML 1.x e perfil; SysML v2 nao e. Nao repetivel porque a lista ja oferece o caso misto."
